工作流 Code,工作流名称，版本
162569900430016,11,1
162742229252805,DWD_SEC_DAY_copy_20260114103918255,2
162922426887878,国内数仓 - 核心指标,45
163202875984576,hive 数据同步,9
163372427743936,DWD_SEC,5
164160318015171,ODS_RISKDATA,4
164182523898565,ODS_CONTRACTSVR_copy_20260130172135995,2
164441803454157,ODS_BIZ_REPAY_copy_20260202154138685,3
164689546605261,ODS_BIZ_REPAY_fink,5
164960080420544,ODS_CRM_ARGUS,4
167097968158413,ODS_BIZ_REPAY_copy_20260304161329530,10
167896669123269,ODS_CONTRACTSVR,3
